Frame Number,Timecode,adaptive_ratio (w=2),average_rgb,content_val,delta_edges,delta_hue,delta_lum,delta_sat
8372,00:04:39.033,1.563252460125528,104.13173647280092,1.7549732349537035,2.2066243489583335,3.6732584635416665,0.9000108506944444,0.691650390625
8373,00:04:39.067,0.7999786473068915,104.06167715567129,1.1518102575231481,3.299560546875,1.4723036024305556,1.2130262586805556,0.7701009114583334
8374,00:04:39.100,0.7407332737348363,104.08399341724537,1.2624421296296298,2.8914388020833335,1.5120713975694444,1.4437120225694444,0.83154296875
8375,00:04:39.133,0.7980121676844091,104.02149341724537,1.4360261140046298,2.7392578125,1.5954047309027777,1.7009819878472223,1.0116916232638888
8376,00:04:39.167,1.464034314558141,103.89833803530092,2.474446614583333,3.8667805989583335,4.304958767361111,1.8578559027777777,1.2605251736111112
8377,00:04:39.200,1.1847783226093775,103.85364221643519,2.3093171296296298,4.212646484375,3.53076171875,2.0543077256944446,1.3428819444444444
8378,00:04:39.233,0.7671386835172033,103.73135489004629,1.7528392650462965,5.243326822916667,1.5921495225694444,2.28857421875,1.3777940538194444
8379,00:04:39.267,0.8964626266502771,103.62512659143519,2.1333098234953707,5.9765625,2.1524251302083335,2.5577256944444446,1.6897786458333333
8380,00:04:39.300,0.8155122374446647,103.77647569444444,2.222547743055556,5.68603515625,2.4020182291666665,2.5191514756944446,1.7464735243055556
8381,00:04:39.333,1.2274071887933342,103.8482078269676,3.2340856481481484,6.107991536458333,5.045844184027778,2.722683376736111,1.9337293836805556
8382,00:04:39.367,1.4830306652078542,103.78763382523148,3.781123408564815,9.123942057291666,6.085883246527778,2.9700792100694446,2.2874077690972223
8383,00:04:39.400,0.8139915861159426,103.62613028067129,2.402587890625,7.200927734375,2.499050564236111,2.8243815104166665,1.8843315972222223
8384,00:04:39.433,0.7903510875725418,103.55496780960648,2.3391474971064814,7.491455078125,2.5300835503472223,2.6925184461805554,1.7948404947916667
8385,00:04:39.467,0.9628939867504519,103.39315682870371,2.4520941840277777,6.232503255208333,3.088894314236111,2.5944281684027777,1.6729600694444444
8386,00:04:39.500,1.4872659974155134,103.09742115162037,3.2027180989583335,6.426188151041667,5.422390407986111,2.4341905381944446,1.7515733506944444
8387,00:04:39.533,1.0550804812919563,102.82597294560185,2.2418981481481484,4.385579427083333,3.2252332899305554,2.0855034722222223,1.4149576822916667
8388,00:04:39.567,0.8312838322242685,102.48353407118056,1.58056640625,3.5624186197916665,1.9944932725694444,1.6647406684027777,1.0824652777777777
8389,00:04:39.600,0.8827699001322938,102.32099066840277,1.2640606915509258,2.6839192708333335,1.7355685763888888,1.2187228732638888,0.837890625
8390,00:04:39.633,0.7078653690360202,102.25681785300925,0.8967466001157406,2.012939453125,1.544921875,0.6869303385416666,0.4583875868055556
8391,00:04:39.667,0.8266852464727398,102.20425528067129,1.0084906684027777,2.1236165364583335,1.7000868055555556,0.7953016493055556,0.5300835503472222
8392,00:04:39.700,1.0134089026661208,102.14079680266204,1.2142107928240742,3.0989583333333335,1.5152723524305556,1.3087293836805556,0.8186306423611112
8393,00:04:39.733,1.2255345474229595,102.07441767939815,1.5046657986111114,3.154296875,1.7690700954861112,1.6535373263888888,1.0913899739583333
8394,00:04:39.767,0.9937772347526005,102.0783058449074,1.3826768663194444,3.0159505208333335,1.6633843315972223,1.5474717881944444,0.9371744791666666
8395,00:04:39.800,0.7765596723753592,102.0737937644676,1.3056731047453702,2.510986328125,1.5811631944444444,1.4871961805555556,0.8486599392361112
8396,00:04:39.833,0.9294533156968896,101.96562138310185,1.5407895688657407,3.5693359375,1.6838921440972223,1.8129611545138888,1.1255154079861112
8397,00:04:39.867,1.4571326154596158,101.93537507233796,2.2972909432870368,4.122721354166667,3.5106336805555554,2.0082194010416665,1.3730197482638888
8398,00:04:39.900,0.8816862507571169,101.90829354745371,1.6453088831018519,3.9013671875,2.0005425347222223,1.7898220486111112,1.1455620659722223
8399,00:04:39.933,0.8684565849605319,101.86585828993056,1.8145616319444444,2.7738444010416665,2.3678114149305554,1.8776584201388888,1.1982150607638888
8400,00:04:39.967,0.7150752056131634,101.67165798611111,1.8117314091435184,4.911295572916667,2.1180013020833335,2.0316026475694446,1.2855902777777777
8401,00:04:40.000,1.115490382016856,101.36506257233796,2.6033076533564814,5.049641927083333,4.205132378472222,2.1630859375,1.4417046440972223
8402,00:04:40.033,2.2081741998369333,101.18852177372685,4.071316189236112,4.724527994791667,8.376546223958334,2.122287326388889,1.7151150173611112
8403,00:04:40.067,0.7076525099693445,100.82101779513889,1.637505425347222,5.174153645833333,1.9074164496527777,1.7743598090277777,1.2307400173611112
8404,00:04:40.100,0.5942865966332347,100.50344509548611,1.3224464699074074,4.558512369791667,1.4804958767361112,1.5081380208333333,0.9787055121527778
8405,00:04:40.133,0.8305231855830918,100.20487919560185,1.2589156539351851,3.8460286458333335,1.4997829861111112,1.4159071180555556,0.8610568576388888
8406,00:04:40.167,1.556743965925225,99.9764992042824,1.9333315248842595,5.02197265625,3.607883029513889,1.2910427517361112,0.9010687934027778
8407,00:04:40.200,0.8222485244703583,99.81302445023148,1.1699580439814816,4.613850911458333,1.6456705729166667,1.1548394097222223,0.7093641493055556
8408,00:04:40.233,0.8808965218031941,99.65209056712963,1.21630859375,4.281819661458333,1.8554416232638888,1.0826280381944444,0.7108561197916666
8409,00:04:40.267,1.0872962047627257,99.60510706018519,1.2829499421296295,3.963623046875,1.9020453559027777,1.1996527777777777,0.7471516927083334
8410,00:04:40.300,0.9258987176300549,99.47209563078704,1.1368091724537035,3.341064453125,1.5692003038194444,1.1273057725694444,0.7139214409722222
8411,00:04:40.333,0.8347851317341475,99.39992947048611,1.196705005787037,3.5555013020833335,1.5204806857638888,1.2556966145833333,0.8139377170138888
8412,00:04:40.367,0.8047015922961428,99.20516854745371,1.2151963975694444,3.3064778645833335,1.6220974392361112,1.254150390625,0.7693413628472222
8413,00:04:40.400,1.6547769452141445,99.00313765914352,2.0992386429398144,2.884521484375,3.9277886284722223,1.3443196614583333,1.0256076388888888
8414,00:04:40.433,1.058019330355084,98.86903211805556,1.6077293113425926,2.967529296875,2.7328559027777777,1.2533094618055556,0.8370225694444444
8415,00:04:40.467,0.5548448319533087,98.69458912037037,1.0547417534722223,2.3103841145833335,1.3271213107638888,1.1605360243055556,0.6765679253472222
8416,00:04:40.500,0.9364084385802595,98.45573820891204,1.7090838396990742,2.2481282552083335,3.0994194878472223,1.2398546006944444,0.7879774305555556
8417,00:04:40.533,1.3454614206155242,98.42576316550925,2.1878164785879632,3.3203125,4.11279296875,1.4427897135416667,1.0078667534722223
8418,00:04:40.567,1.4973518514937103,98.09465422453704,2.450303819444444,2.469482421875,4.980523003472222,1.3637152777777777,1.0066731770833333
8419,00:04:40.600,0.7194665053072133,97.89710828993056,1.2901566116898149,2.2965494791666665,1.6720920138888888,1.388916015625,0.8094618055555556
8420,00:04:40.633,0.33832415216311973,97.59165219907408,1.358642578125,2.635498046875,1.8758138020833333,1.3662651909722223,0.8338487413194444
8421,00:04:40.667,0.16839971011105825,97.27658420138889,1.1760886863425926,2.7530924479166665,1.3494466145833333,1.37451171875,0.8043077256944444
8422,00:04:40.700,1.3806523689991026,95.27643952546296,11.146656177662038,25.089111328125,19.27297634548611,8.671223958333334,5.495768229166667
8423,00:04:40.733,1.3991498407852745,92.59597439236111,14.140190972222223,34.19921875,21.234619140625,12.576741536458334,8.609212239583334
8424,00:04:40.767,1.2251050749461327,89.17508499710648,15.618959780092595,34.060872395833336,24.192518446180557,12.92282443576389,9.741536458333334
8425,00:04:40.800,0.916331714200519,85.59269205729167,12.483389395254632,31.487630208333332,16.99823676215278,12.371229383680555,8.080702039930555
8426,00:04:40.833,1.0381436883818702,82.75483760127315,13.22607421875,29.322509765625,20.781629774305557,11.46511501736111,7.431477864583333
8427,00:04:40.867,0.9087973184282542,79.91053602430556,11.507658781828704,30.775146484375,15.964057074652779,11.266438802083334,7.29248046875
8428,00:04:40.900,0.8921161597182801,76.86996346932871,11.350468388310185,29.730631510416668,16.327473958333332,10.676405164930555,7.047526041666667
8429,00:04:40.933,1.1429367736440563,74.63029875578704,13.590124059606481,27.779947916666668,22.05840386284722,10.954996744791666,7.756971571180555
8430,00:04:40.967,1.0095434577861917,72.41449652777777,12.568476924189815,27.198893229166668,19.504991319444443,10.25339084201389,7.947048611111111
8431,00:04:41.000,0.9335270514074556,70.39706307870371,12.13551613136574,26.071370442708332,18.31985134548611,10.185492621527779,7.901204427083333
8432,00:04:41.033,1.012353011751505,68.52124927662037,12.722547743055555,24.259033203125,20.10942925347222,10.179578993055555,7.878634982638889
8433,00:04:41.067,1.0460573767137598,66.38783998842592,13.11741355613426,26.35498046875,21.75580512152778,10.384901258680555,7.211534288194445
8434,00:04:41.100,0.969136932334977,64.78669343171296,12.447808159722223,26.569417317708332,19.834391276041668,9.844184027777779,7.664849175347222
8435,00:04:41.133,1.0133884357321756,63.0255443431713,12.853569878472223,27.503255208333332,21.523681640625,9.621527777777779,7.415500217013889
8436,00:04:41.167,1.011984825389714,61.425826461226855,12.683349609375,28.547770182291668,21.41436089409722,9.36328125,7.272406684027778
8437,00:04:41.200,0.9976903726633469,60.190981264467595,12.486445674189815,24.881591796875,21.29465060763889,9.259955512152779,6.904730902777778
8438,00:04:41.233,0.9743432275552083,58.11985496238426,12.34474464699074,26.998291015625,21.08447265625,9.259412977430555,6.690348307291667
8439,00:04:41.267,0.9456370762083447,57.190908926504626,12.179741753472221,25.158284505208332,20.668809678819443,8.746473524305555,7.123942057291667
8440,00:04:41.300,1.0119019508243983,53.719771773726855,13.329707392939815,29.792887369791668,21.323323567708332,10.732964409722221,7.932834201388889
8441,00:04:41.333,0.9834124287467311,50.37150969328704,13.358832465277777,34.365234375,21.097900390625,10.446099175347221,8.53249782986111
8442,00:04:41.367,1.0804763512527222,46.08698640046296,14.808376736111112,33.521321614583336,23.455702039930557,10.80078125,10.168646918402779
8443,00:04:41.400,1.007705487242885,42.12462926793982,14.01881691261574,33.701171875,20.812418619791668,10.645182291666666,10.59884982638889
8444,00:04:41.433,1.031220616762061,37.90930627893518,14.114303023726853,95.66650390625,20.80718315972222,10.59326171875,10.942464192708334
8445,00:04:41.467,0.9903521573136396,33.394386574074076,13.36497214988426,12.381998697916666,17.886881510416668,10.78146701388889,11.426567925347221
8446,00:04:41.500,0.9519643529860613,28.756691261574073,12.555781611689815,18.413899739583332,15.336615668402779,10.59933810763889,11.731391059027779
8447,00:04:41.533,1.0803950665193767,23.869068287037038,13.291784215856481,19.942626953125,14.492974175347221,10.855061848958334,14.52731662326389
8448,00:04:41.567,1.0399545604496254,18.892478660300927,11.986300998263888,18.123372395833332,12.30276150173611,10.329698350694445,13.32644314236111
8449,00:04:41.600,1.1144952214535342,13.2822265625,11.303774233217593,24.314371744791668,10.05078125,9.68185763888889,14.17868381076389
8450,00:04:41.633,1.0487065436044325,8.502097800925926,8.951831958912036,25.933024088541668,6.181993272569445,8.20212131076389,12.471381293402779
